QID,name_x,Unnamed: 2,best_match,name
Q110186196,Encore Wire,,Encore Wire,
Q104480207,CRISPR Therapeutics,,CRISPR Therapeutics,
Q3310113,JB Hi-Fi,,JB Hi-Fi,
Q85739464,Aboitiz Power,,Aboitiz Power,
Q5923178,Itron,,Itron,
Q21843099,Freedom Holding,,Freedom Holding,
Q620398,Impala Platinum,,Impala Platinum,
Q1549526,Spark New Zealand,,Spark New Zealand,
Q4803735,Asbury Automotive Group,,Asbury Automotive Group,
Q2902305,Brink's,,Brink's,
Q686785,Transocean,,Transocean,
Q1112588,Columbia Sportswear Company,,Columbia Sportswear,
Q668091,DKSH,,,
Q3079736,Fosun International Limited,,So-Young International,
Q47508523,Nuvei,,Nuvei,
Q101606525,Aurora Innovation,,Aurora Innovation,
Q1148521,Vak?fBank,,VakıfBank,
Q21236526,Hensoldt AG,,Hensoldt,
Q74877,JCDecaux,,JCDecaux,
Q2783191,Aurizon,,Atrion,
Q671877,EFG International,,EFG International,
Q6301764,Jubilant FoodWorks,,Jubilant FoodWorks,
Q17080741,Silgan Holdings,,Silgan Holdings,
Q18397448,Whitecap Resources,,Whitecap Resources,
Q24946938,Budimex,,Budimex,
Q2047781,Tis,,TriMas,
Q104481262,Alpine Immune Sciences,,Alpine Immune Sciences,
Q2398881,Tecan,,Tecan,
Q417391,Aker,,Akerna,
Q22674048,Q22674048,,,
Q5030657,Canadian Utilities,,Canadian Utilities,
Q592765,Tohoku Electric Power,,Tohoku Electric Power,
Q7316207,Restoration Hardware,,Restoration Hardware,
Q4041316,Impinj,,Impinj,
Q191551,easyJet,,easyJet,
Q7995089,White Mountains Insurance Group,,White Mountains Insurance Group,
Q483006,LG Display,,LG Display,
Q6717732,MSC Industrial Direct,,MSC Industrial Direct,
Q39075113,Scorpio Tankers,,Scorpio Tankers,
Q7059529,Northland Power,,Northland Power,
Q4789628,Argo Investments,,Argo Investments,
Q12333528,Ringkjobing Landbobank,,Ringkjøbing Landbobank,
Q12199341,Bank Aljazira,,Bank AlJazira,
Q5491478,Franklin Electric,,Franklin Electric,
Q5169368,CorVel Corporation,,CorVel Corporation,
Q7829730,Tower Semiconductor Ltd.,,Tower Semiconductor,
Q6648506,RS Public Company Limited,,Com7 Public Company,
Q708789,Ryohin Keikaku,,Ryohin Keikaku,
Q587270,Games Workshop,,Games Workshop Group,
Q5568612,Glenmark Pharmaceuticals,,Glenmark Pharmaceuticals,
Q55631029,RadNet,,RadNet,
Q836569,Beijing Enterprises,,Beijing Enterprises Holdings,
Q7231939,Portland General Electric,,Portland General Electric,
Q114367372,Clicks Group,,Clicks Group,
Q5956430,Yonyou,,Yonyou,
Q1579222,Ultrapar,,,
Q3530370,NLC India Limited,,Sanofi India Limited,
Q192814,Harley-Davidson,,Harley-Davidson,
Q4887077,Bendigo Bank,,Bangkok Bank,
Q36033,Mitsubishi Motors,,Mitsubishi Motors,
Q1128439,Contact Energy,,Contact Energy,
Q23680081,PJT Partners,,PJT Partners,
Q2090767,Wallenius Wilhelmsen,,Wallenius Wilhelmsen,
Q6026960,Indraprastha Gas,,Indraprastha Gas,
Q101246646,ImmunityBio,,ImmunityBio,
Q25388942,Verallia,,Verallia,
