id,contour,is_actual,name,notes,interest_object_type_id,registration_date,update_date,creator,last_updater,markers,image_name,redmine_issue_ids,secret_level_id,start_date,end_date,avatar_document_uuid,status
3848929,ОК,True,Республика Союз Мьянма,,1367,1699577196,1723220950,7011b257-891d-40ef-9b04-c39775c74174,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55044177,ОК,True,Сан-Марино,,1367,1718799832,1723242715,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
227074,ОК,True,Togo,,1367,1684739611,1723134380,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226954,ОК,True,Sierra Leone,,1367,1684739464,1722768284,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
8242463,ОК,True,Тонга,,1367,1701092581,1723218909,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
5073655,ОК,True,Тувалу,,1367,1700236820,1723060142,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226720,ОК,True,Монголия,,1367,1684739149,1723216125,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,{'date': {}},{'date': {}},,approved
8250226,ОК,True,Острова Кука,,1367,1701095671,1722894316,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226180,ОК,True,Cayman Islands,,1367,1684738380,1722772419,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226678,ОК,True,Martinique,,1367,1684739095,1722772419,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
930071,ОК,True,Экваториальная Гвинея,,1367,1695236060,1723181160,c648cbc6-c562-460e-afa2-37ab79bc5b7b,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226755,ОК,True,Nauru,,1367,1684739199,1722730236,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226775,ОК,True,New Caledonia,,1367,1684739224,1722769579,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55043942,ОК,True,Литва,,1367,1718799789,1723471276,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226950,ОК,True,Seychelles,,1367,1684739458,1722768284,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
6281084,ОК,True,Демократическая Республика Конго,,1367,1700585372,1723115907,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226170,ОК,True,Канада,,1367,1684738368,1723469405,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55043925,ОК,True,Латвия,,1367,1718799783,1723248829,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
