name,location,coordinates
Массачусетский технологический институт,"Cambridge, Massachusetts, United States42°21′35″N 71°5′31″W﻿ / ﻿42.35972°N 71.09194°W﻿ / 42.35972; -71.09194",42°21′32″ с. ш. 71°05′34″ з. д.
юридический факультет Масарикова университета,,
Итонский колледж,"Итон (Беркшир),  Великобритания",51°29′30″ с. ш. 0°36′31″ з. д.
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Венский университет,"Вена, Австрия",48°12′47″ с. ш. 16°21′35″ в. д.
Варшавский университет,"Польша, Варшава",52°14′25″ с. ш. 21°01′09″ в. д.
Армянский государственный экономический университет,"Yerevan, Armenia40°11′04″N 44°31′30″E﻿ / ﻿40.18444°N 44.52500°E﻿ / 40.18444; 44.52500",40°11′03″ с. ш. 44°31′29″ в. д.
Майнцский университет,"Майнц, Рейнланд-Пфальц, Германия",49°59′35″ с. ш. 8°14′30″ в. д.
Афинский университет,"Афины, Греция",37°59′05″ с. ш. 23°46′01″ в. д.
Венский университет,"Вена, Австрия",48°12′47″ с. ш. 16°21′35″ в. д.
Пембрук-колледж,,Coord extraction error
Лейденский университет,"Лейден и Гаага,  Нидерланды",52°09′22″ с. ш. 4°29′13″ в. д.
Фрибурский университет,"Фрибур, Швейцария",46°48′23″ с. ш. 7°09′06″ в. д.
Лодзинский университет,"Лодзь, Польша",51°46′18″ с. ш. 19°28′23″ в. д.
Академия управления МВД России,"Россия, Москва",55°49′09″ с. ш. 37°30′26″ в. д.
Лейденский университет,"Лейден и Гаага,  Нидерланды",52°09′22″ с. ш. 4°29′13″ в. д.
Гарвардская школа бизнеса,"Allston, Massachusetts, United States42°22′02″N 71°07′21″W﻿ / ﻿42.36722°N 71.12250°W﻿ / 42.36722; -71.12250",42°22′02″ с. ш. 71°07′21″ з. д.
Университет Пантеон-Ассас,Париж,48°50′49″ с. ш. 2°20′41″ в. д.
британская школа в Пунта-Аренасе,,
Вильнюсский университет,"Вильнюс,  Литва",54°40′58″ с. ш. 25°17′14″ в. д.
Афинский университет,"Афины, Греция",37°59′05″ с. ш. 23°46′01″ в. д.
Вроцлавский университет,"Польша, Вроцлав",51°06′50″ с. ш. 17°02′00″ в. д.
Гимназия Монбетон,,
Университет Мангейма,"Mannheim, Baden-Württemberg, Germany49°29′00″N 8°27′53″E﻿ / ﻿49.4832°N 8.4647°E﻿ / 49.4832; 8.4647",49°29′00″ с. ш. 8°27′53″ в. д.
Университет Саламанки,"Саламанка,  Испания",40°57′41″ с. ш. 5°40′02″ з. д.
Школа дипломатической службы,,
Университет Уаикато,"Гамильтон, Новая Зеландия",37°47′13″ ю. ш. 175°18′50″ в. д.
Университет Макгилла,"Монреаль,  Квебек,  Канада",45°30′15″ с. ш. 73°34′29″ з. д.
Университет Западного Лондона,"Лондон и Рединг, Великобритания",51°30′23″ с. ш. 0°18′15″ з. д.
Азербайджанский государственный экономический университет,"Азербайджан, Баку",40°23′10″ с. ш. 49°49′38″ в. д.
колледж Магдалины,,
Сиракузский университет,"Syracuse, New York, United States43°02′15″N 76°08′02″W﻿ / ﻿43.0376°N 76.1340°W﻿ / 43.0376; -76.1340",43°02′15″ с. ш. 76°08′02″ з. д.
Университет «Гаджа Мада»,,
Йельский университет,"New Haven, Connecticut, United States41°18′59″N 72°55′20″W﻿ / ﻿41.31639°N 72.92222°W﻿ / 41.31639; -72.92222",41°18′59″ с. ш. 72°55′20″ з. д.
Королевский колледж Лондона,"Лондон, Великобритания",51°30′43″ с. ш. 0°06′58″ з. д.
Неаполитанский университет имени Фридриха II,"Италия, Неаполь",40°50′50″ с. ш. 14°15′25″ в. д.
Римский университет Ла Сапиенца,"Рим, Лацио, Италия",41°54′12″ с. ш. 12°30′57″ в. д.
Университет Невшателя,"Невшатель, Швейцария",46°59′37″ с. ш. 6°56′19″ в. д.
Льежский университет,"Льеж, Бельгия",50°38′27″ с. ш. 5°34′29″ в. д.
